Rk,Player,AV,Sk,Def%,PD,Season,Age,Team,G,GS,Sk,Solo,Ast,Comb,TFL,QBHits,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,STSnp,ST %,Pos
1801,Byron Jones,6,0,87.1,5,2017,25,DAL,16,16,0,57,25,82,4,2,1,21,1,5,0,0,910,219,51.9,FS
1802,Byron Jones,6,0,78.8,4,2020,28,MIA,14,14,0,28,9,37,0,0,2,15,0,4,0,0,815,55,12.1,LCB
1803,Chris Jones,6,3,46.1,0,2014,24,NWE,15,12,3,15,10,25,4,7,0,0,0,0,0,0,503,97,20.8,RDT
1804,Christian Jones,6,0,72,4,2015,24,CHI,15,13,0,62,24,86,2,3,0,0,0,4,0,0,743,128,28,RILB
1805,Christian Jones,6,2,58.9,2,2017,26,CHI,16,11,2,60,30,90,5,3,0,0,0,2,0,0,623,233,55.6,LILB
1806,Christian Jones,6,2,53.3,4,2019,28,DET,13,13,2,29,22,51,2,3,0,0,0,4,0,0,609,123,26.6,RLB
1807,Chris Jones,6,2,51.4,4,2016,22,KAN,16,11,2,17,11,28,5,10,0,0,0,4,0,0,573,67,15,RDE
1808,D.J. Jones,6,2,29.5,0,2019,24,SFO,11,11,2,19,4,23,4,2,0,0,0,0,1,0.1,304,80,18.2,LDT
1809,D.J. Jones,6,2,50.3,0,2023,28,DEN,16,16,2,30,16,46,5,4,0,0,0,0,0,0,568,0,0,DT
1810,DaQuan Jones,6,0,63.7,0,2015,24,TEN,16,16,0,25,20,45,3,3,0,0,0,0,0,0,671,93,20.8,LDE
1811,Deion Jones,6,2,91.5,6,2021,27,ATL,16,16,2,87,50,137,8,4,0,0,0,6,0,0,1071,2,0.5,LILB
1812,Dre'Mont Jones,6,4.5,64.1,0,2023,26,SEA,17,16,4.5,26,23,49,5,12,0,0,0,0,0,0,762,79,17.1,DE
1813,Ernest Jones,6,4.5,82.4,6,2023,24,LAR,15,15,4.5,74,71,145,14,6,0,0,0,6,0,0,934,66,14.2,LB
1814,Jason Jones,6,4.5,51.8,1,2015,29,DET,15,15,4.5,27,4,31,7,11,0,0,0,1,0,0,541,66,14.4,LDE
1815,Jonathan Jones,6,0,79.1,11,2022,29,NWE,16,16,0,56,13,69,0,0,4,89,1,11,0,0,894,116,25.4,LCB
1816,Justin Jones,6,1,50.8,0,2020,24,LAC,13,12,1,19,15,34,5,4,0,0,0,0,0,0,527,60,13.1,LDT
1817,Adam Jones,6,0,97.3,7,2016,33,CIN,16,16,0,54,12,66,0,1,1,2,0,7,0,0,1058,27,6.1,RCB
1818,Johnathan Joseph,6,0,72.9,9,2017,33,HOU,16,16,0,37,10,47,2,0,2,85,1,9,0,0,746,33,6.7,LCB
1819,Linval Joseph,6,0.5,49.3,1,2015,27,MIN,12,12,0.5,42,14,56,7,4,0,0,0,1,0,0,529,40,9.1,RDT
1820,Linval Joseph,6,3,50.5,0,2019,31,MIN,13,13,3,26,18,44,6,6,0,0,0,0,0,0,552,28,6.7,LDT
1821,Sebastian Joseph-Day,6,2,43.4,1,2019,24,LAR,16,15,2,25,19,44,5,5,0,0,0,1,0,0,481,84,18.2,NT
1822,Sebastian Joseph-Day,6,3,26.9,0,2023,28,LACSFO,16,14,3,19,17,36,3,11,0,0,0,0,0,0,604,33,3.7,LDE/RDE
1823,Matt Judon,6,7,65,3,2018,26,BAL,16,8,7,29,15,44,10,20,0,0,0,3,0,0,673,118,26.4,ROLB
1824,Calijah Kancey,6,4,51.2,1,2023,22,TAM,14,14,4,19,7,26,10,12,0,0,0,1,0,0,577,7,1.6,DL
1825,Damontae Kazee,6,0,90.8,10,2018,25,ATL,16,15,0,60,22,82,1,0,7,54,0,10,0,0,991,87,19.8,SS
1826,Eric Kendricks,6,4,71,1,2015,23,MIN,14,11,4,72,20,92,8,8,0,0,0,1,0,0,762,74,16.9,MLB
1827,Eric Kendricks,6,3.5,73.6,6,2023,31,LAC,15,14,3.5,79,38,117,7,7,0,0,0,6,0,0,848,17,3.7,LILB
1828,Mychal Kendricks,6,3,51.6,3,2015,25,PHI,13,13,3,64,22,86,9,7,0,0,0,3,0,0,627,47,9.4,RILB
1829,Mychal Kendricks,6,3,60.5,4,2019,29,SEA,14,14,3,47,24,71,8,2,1,1,0,4,0,0,649,54,11.8,LLB
1830,Desmond King,6,0,78.3,8,2022,28,HOU,17,13,0,59,30,89,10,2,2,30,0,8,0,0,918,103,22.2,DB/LCB
1831,Kevin King,6,1,77.4,15,2019,24,GNB,15,14,1,56,10,66,3,1,5,54,0,15,0,0,805,18,4.2,RCB
1832,Christian Kirksey,6,2,53.4,4,2020,28,GNB,11,11,2,46,31,77,2,2,2,18,0,4,0,0,548,42,9.8,LILB
1833,Dre Kirkpatrick,6,0,96.6,16,2015,26,CIN,16,15,0,63,7,70,0,0,0,0,0,16,0,0,1048,78,17.6,LCB
1834,Dre Kirkpatrick,6,0,89.6,10,2016,27,CIN,15,14,0,35,11,46,0,0,3,21,0,10,0,0,974,0,0,LCB
1835,Dre Kirkpatrick,6,1,75.7,14,2017,28,CIN,14,14,1,47,8,55,4,1,1,101,0,14,0,0,868,0,0,LCB
1836,Dre Kirkpatrick,6,0,67.6,7,2020,31,ARI,14,11,0,53,3,56,0,0,3,13,0,7,0,0,750,6,1.4,RCB
1837,A.J. Klein,6,5,60.9,4,2020,29,BUF,16,11,5,53,22,75,5,9,0,0,0,4,0,0,652,148,33,LLB
1838,Malcolm Koonce,6,8,44.1,0,2023,25,LVR,17,11,8,32,11,43,9,17,0,0,0,0,0,0,500,268,61.8,DE
1839,Nick Kwiatkoski,6,3,47.7,4,2019,26,CHI,16,8,3,56,20,76,8,3,1,4,0,4,0,0,512,256,61.5,LILB
1840,Tyler Lancaster,6,1.5,36.6,0,2019,25,GNB,16,10,1.5,17,13,30,2,2,0,0,0,0,0,0,381,90,21,RDE
1841,Harold Landry,6,10.5,73.1,0,2023,27,TEN,17,10,10.5,45,25,70,14,21,0,0,0,0,0,0,841,2,0.4,OLB
1842,Danny Lansanah,6,1.5,56.9,8,2014,29,TAM,16,11,1.5,61,21,82,8,2,3,60,2,8,0,0,630,161,36.9,LLB
1843,Marshon Lattimore,6,0,88,12,2018,22,NOR,16,16,0,49,10,59,1,0,2,0,0,12,0,0,906,52,12.1,RCB
1844,Carl Lawson,6,5.5,68.2,0,2020,25,CIN,16,11,5.5,18,18,36,4,32,0,0,0,0,0,0,723,7,1.5,RDE
1845,Shaq Lawson,6,4,55.3,1,2020,26,MIA,14,7,4,17,15,32,4,18,0,0,0,1,0,0,572,79,17.4,LOLB
1846,Sean Lee,6,0,59.5,1,2017,31,DAL,11,11,0,70,31,101,13,1,1,9,0,1,0,0,622,34,8.1,RLB
1847,Cory Littleton,6,0.5,57.1,4,2021,28,LVR,17,13,0.5,51,47,98,2,2,0,0,0,4,0,0,661,209,43.8,LLB
1848,Corey Liuget,6,1.5,39.6,2,2017,27,LAC,12,12,1.5,15,6,21,5,4,0,0,0,2,0,0,415,43,10,RDT
1849,Bennie Logan,6,1,48,0,2015,26,PHI,14,14,1,39,16,55,9,2,0,0,0,0,0,0,583,65,13,NT
1850,Bennie Logan,6,2.5,45.8,0,2016,27,PHI,13,13,2.5,16,8,24,5,6,0,0,0,0,0,0,467,56,12.8,RDT
1851,Bennie Logan,6,1.5,52,1,2017,28,KAN,15,12,1.5,35,17,52,9,3,0,0,0,1,0,0,572,56,12.1,NT
1852,Chris Long,6,4,64.9,3,2016,31,NWE,16,7,4,22,13,35,7,10,0,0,0,3,0,0,677,0,0,LDE
1853,David Long,6,0,63.4,5,2022,26,TEN,12,12,0,52,34,86,7,3,2,4,0,5,0,0,740,0,0,LILB
1854,Roy Lopez,6,1,43.6,0,2021,24,HOU,16,15,1,20,11,31,5,2,0,0,0,0,0,0,501,124,27.4,RDT
1855,Star Lotulelei,6,2,46.5,1,2014,25,CAR,14,13,2,19,7,26,7,4,0,0,0,1,0,0,478,61,13.5,RDT
1856,Star Lotulelei,6,1,48.5,2,2015,26,CAR,14,14,1,13,9,22,4,5,0,0,0,2,0,0,533,52,10.9,LDT
1857,Star Lotulelei,6,1.5,58.8,1,2017,28,CAR,16,16,1.5,6,19,25,3,5,0,0,0,1,0,0,586,82,18.7,LDT
1858,Julian Love,6,1,88.9,5,2022,24,NYG,16,16,1,79,45,124,6,1,2,44,0,5,3,0.3,1006,220,46.7,SS
1859,Julian Love,6,0,78.8,10,2023,25,SEA,17,12,0,85,38,123,1,0,4,7,0,10,0,0,937,88,19,S
1860,Dwight Lowery,6,1,95,5,2014,28,ATL,16,15,1,60,19,79,1,3,2,21,0,5,0,0,1029,8,1.8,FS
1861,Dwight Lowery,6,0,93.7,9,2016,30,SDG,16,16,0,49,11,60,1,0,1,25,0,9,0,0,1003,41,8.8,FS
1862,Dean Lowry,6,2,47,2,2017,23,GNB,16,11,2,18,14,32,5,5,0,0,0,2,0,0,494,128,30.3,LDE
1863,Nnamdi Madubuike,6,2,44.5,2,2021,24,BAL,15,11,2,23,13,36,7,5,0,0,0,2,0,0,484,66,13.9,LDE
1864,Boye Mafe,6,9,68,6,2023,25,SEA,16,16,9,35,17,52,9,16,0,0,0,6,0,0,808,77,16.7,LB
1865,Jacob Martin,6,4,60.8,3,2021,26,HOU,17,14,4,11,12,23,5,6,0,0,0,3,0,0,698,83,18.4,LDE
1866,Rashean Mathis,6,0,97.9,9,2014,34,DET,16,16,0,42,9,51,0,0,1,41,1,9,0,0,1023,60,14.2,RCB
1867,Robert Mathis,6,5,49.7,0,2016,35,IND,14,12,5,15,5,20,5,5,0,0,0,0,0,0,535,1,0.2,ROLB
1868,Tyrann Mathieu,6,1,99.4,7,2017,25,ARI,16,16,1,70,8,78,6,4,2,16,0,7,0,0,1053,208,43.4,FS
1869,Tyrann Mathieu,6,3,97.8,8,2018,26,HOU,16,16,3,70,19,89,5,4,2,6,0,8,0,0,1045,3,0.6,SS
1870,Clay Matthews,6,7.5,62.4,2,2017,31,GNB,14,14,7.5,27,16,43,8,21,0,0,0,2,0,0,656,34,8.1,LOLB
1871,Rey Maualuga,6,0,39.5,4,2014,27,CIN,12,12,0,33,26,59,5,0,1,4,0,4,0,0,444,8,1.8,MLB
1872,Byron Maxwell,6,0,71.5,12,2014,26,SEA,13,12,0,35,4,39,0,0,2,23,0,12,0,0,700,50,11.6,RCB
1873,Marcus Maye,6,0,98.7,7,2019,26,NYJ,16,16,0,50,15,65,1,0,1,0,0,7,0,0,1092,38,8.5,FS
1874,Marcus Maye,6,2,99.8,11,2020,27,NYJ,16,16,2,52,36,88,4,2,2,0,0,11,0,0,1137,48,10.8,FS
1875,David Mayo,6,2,56.8,2,2019,26,NYG,16,13,2,52,30,82,5,2,0,0,0,2,0,0,631,263,57.8,RILB
1876,Bobby McCain,6,0,89.3,5,2020,27,MIA,16,15,0,39,7,46,0,2,1,19,0,5,0,0,923,6,1.3,SS
1877,Bobby McCain,6,0,93.1,9,2021,28,WAS,17,16,0,47,16,63,0,0,4,63,1,9,0,0,1031,0,0,FS
1878,Albert McClellan,6,1,57.6,0,2016,30,BAL,16,11,1,34,21,55,4,2,0,0,0,0,0,0,603,186,40.3,ROLB
1879,Rolando McClain,6,1,61.7,3,2014,25,DAL,13,12,1,65,16,81,9,3,2,0,0,3,0,0,633,9,2,MLB
1880,Rolando McClain,6,2,60.4,3,2015,26,DAL,11,11,2,50,30,80,9,5,1,12,1,3,0,0,638,15,3.4,MLB
1881,Devin McCourty,6,0,91.7,6,2014,27,NWE,16,16,0,51,17,68,0,1,2,70,0,6,0,0,999,154,33,FS
1882,Devin McCourty,6,0,96.3,4,2018,31,NWE,16,16,0,59,23,82,1,0,1,84,1,4,0,0,1004,184,40.6,FS
1883,Devin McCourty,6,0,94.5,6,2020,33,NWE,16,16,0,45,23,68,2,0,2,62,1,6,0,0,961,65,16.4,FS
1884,Devin McCourty,6,0,97.2,8,2022,35,NWE,17,17,0,54,17,71,0,0,4,66,0,8,0,0,1098,9,2,FS
1885,Gerald McCoy,6,6,69.9,1,2018,30,TAM,14,14,6,17,11,28,6,21,0,0,0,1,0,0,732,26,5.7,LDT
1886,Gerald McCoy,6,5,63,2,2019,31,CAR,16,16,5,15,22,37,7,13,0,0,0,2,0,0,695,94,19.7,LDE
1887,Jason McCourty,6,0,94.3,11,2014,27,TEN,16,16,0,77,8,85,1,0,3,0,0,11,0,0,1078,105,22.4,RCB
1888,Jason McCourty,6,0,84.2,14,2017,30,CLE,14,14,0,54,11,65,5,0,3,59,1,14,0,0,899,47,10.9,LCB
1889,Roger McCreary,6,0,99.7,8,2022,22,TEN,17,17,0,70,14,84,2,0,1,4,0,8,0,0,1165,49,10.9,LCB
1890,Tony McDaniel,6,0,41,1,2014,29,SEA,16,14,0,16,14,30,1,0,0,0,0,1,0,0,401,49,11.3,LDT
1891,Tony McDaniel,6,0,44.9,3,2016,31,SEA,16,10,0,20,23,43,3,1,0,0,0,3,0,0,485,55,12.5,RDT
1892,Bradley McDougald,6,0,95.3,10,2016,26,TAM,16,16,0,79,12,91,3,0,2,32,0,10,0,0,1012,82,18.7,FS
1893,Bradley McDougald,6,0.5,87.8,6,2019,29,SEA,15,14,0.5,52,18,70,1,2,2,0,0,6,0,0,941,72,15.8,SS
1894,Clinton McDonald,6,5,55.9,2,2014,27,TAM,13,13,5,34,11,45,9,8,1,3,0,2,0,0,619,65,14.9,RDT
1895,Clinton McDonald,6,3.5,45.7,0,2016,29,TAM,12,12,3.5,25,11,36,6,5,0,0,0,0,0,0,485,48,10.9,RDT
1896,Malik McDowell,6,3,57.7,1,2021,25,CLE,15,14,3,19,14,33,7,5,0,0,0,1,0,0,646,27,6.4,LDT
1897,T.J. McDonald,6,2,100,6,2014,23,STL,16,16,2,84,20,104,8,2,1,20,0,6,0,0,1049,143,31.6,FS
1898,Benardrick McKinney,6,1,39.3,0,2015,23,HOU,14,11,1,37,26,63,7,2,0,0,0,0,0,0,410,101,21.3,RILB
1899,Benardrick McKinney,6,1,78.6,3,2019,27,HOU,14,14,1,54,47,101,4,4,0,0,0,3,0,0,846,27,6.4,LILB
1900,Takkarist McKinley,6,3.5,52.4,0,2019,24,ATL,14,13,3.5,18,11,29,7,13,0,0,0,0,0,0,546,2,0.5,LDE
1901,Xavier McKinney,6,0.5,100,11,2023,25,NYG,17,17,0.5,78,38,116,2,1,3,22,0,11,0,0,1128,103,22.5,FS
1902,Rodney McLeod,6,0,99.7,5,2015,25,STL,16,16,0,59,23,82,2,0,1,4,0,5,0,0,1153,112,24.2,FS
1903,Rodney McLeod,6,1,99.4,7,2016,26,PHI,16,16,1,72,11,83,3,0,3,5,0,7,0,0,1013,84,19.1,FS
1904,Raekwon McMillan,6,0,76.3,1,2018,22,MIA,16,16,0,69,36,105,5,0,0,0,0,1,0,0,831,16,3.6,MLB
1905,Alim McNeill,6,1,68.8,0,2022,22,DET,17,17,1,17,24,41,6,7,0,0,0,0,0,0,782,2,0.4,RDT
1906,Pernell McPhee,6,6,57.6,3,2015,27,CHI,14,12,6,42,11,53,9,18,1,13,0,3,0,0,594,34,7.4,ROLB
1907,Pernell McPhee,6,3,43,1,2020,32,BAL,15,13,3,26,8,34,3,15,0,0,0,1,0,0,459,16,3.8,LOLB
1908,Brandon Mebane,6,1,39.1,1,2018,33,LAC,12,12,1,22,18,40,3,3,0,0,0,1,0,0,405,3,0.7,RDT
1909,Brandon Mebane,6,1,42,0,2019,34,LAC,13,13,1,15,12,27,1,2,0,0,0,0,0,0,408,2,0.5,RDT
1910,Jamie Meder,6,1,64.7,1,2016,25,CLE,16,15,1,26,22,48,3,6,0,0,0,1,0,0,720,135,30.3,LDE
1911,Josh Metellus,6,2.5,94.2,5,2023,25,MIN,17,17,2.5,78,38,116,7,10,1,43,0,5,0,0,1065,194,44.6,S
1912,Jalen Mills,6,0,84.6,7,2021,27,NWE,16,16,0,35,12,47,1,0,0,0,0,7,0,0,913,17,3.9,RCB
1913,Roy Miller,6,1,42.7,1,2014,27,JAX,14,14,1,21,10,31,4,2,0,0,0,1,0,0,480,8,1.7,LDT
1914,Roy Miller,6,4,47.9,1,2015,28,JAX,16,16,4,22,18,40,6,6,0,0,0,1,0,0,557,1,0.2,RDT
1915,Von Miller,6,8,42.8,2,2022,33,BUF,11,11,8,18,3,21,10,12,0,0,0,2,0,0,450,0,0,RDE
1916,Barkevious Mingo,6,2,57.4,3,2014,24,CLE,15,11,2,26,16,42,3,8,0,0,0,3,0,0,667,213,45.6,ROLB
1917,Arthur Moats,6,4,50,2,2015,27,PIT,16,11,4,24,11,35,4,11,0,0,0,2,0,0,554,80,17.9,LOLB
1918,Tre'von Moehrig,6,2,97.6,8,2023,24,LVR,17,17,2,65,18,83,1,2,3,41,0,8,0,0,1106,2,0.5,S
1919,Kenny Moore,6,1.5,86.9,11,2018,23,IND,15,15,1.5,63,14,77,4,2,3,52,0,11,0,0,910,140,31.7,LCB
1920,Kenny Moore,6,1.5,92.9,6,2023,28,IND,16,16,1.5,68,25,93,8,2,3,115,2,6,0,0,1088,109,21.8,CB
1921,Rahim Moore,6,0,97.5,5,2014,24,DEN,16,16,0,44,6,50,0,0,4,36,0,5,0,0,1053,51,10.4,FS
1922,Derrick Morgan,6,6.5,88,7,2014,25,TEN,16,16,6.5,43,20,63,10,9,0,0,0,7,0,0,1006,86,18.3,LOLB
1923,Derrick Morgan,6,7.5,65.8,2,2017,28,TEN,14,14,7.5,16,16,32,6,14,0,0,0,2,0,0,716,0,0,LOLB
1924,Derrick Morgan,6,0.5,50.9,3,2018,29,TEN,13,12,0.5,19,6,25,0,4,0,0,0,3,0,0,532,6,1.4,LOLB
1925,Antonio Morrison,6,0,75.4,1,2017,23,IND,15,15,0,64,45,109,3,0,0,0,0,1,0,0,811,165,36.4,LILB
1926,Nicholas Morrow,6,0,99.8,2,2022,27,CHI,17,17,0,83,33,116,11,0,1,5,0,2,0,0,1086,91,20.9,LLB
1927,C.J. Mosley,6,2,92.2,2,2021,29,NYJ,16,16,2,103,65,168,2,3,0,0,0,2,0,0,1096,97,20.8,LLB
1928,Trent Murphy,6,4,43.4,1,2018,28,BUF,13,10,4,14,10,24,5,9,0,0,0,1,0,0,440,48,10.9,LDE
1929,Reggie Nelson,6,0,98.7,5,2017,34,OAK,16,16,0,60,29,89,1,0,1,3,0,5,0,0,1026,1,0.2,FS
1930,Steven Nelson,6,0,93.3,8,2019,26,PIT,15,15,0,52,9,61,0,0,1,33,0,8,0,0,1011,60,14.2,RCB
1931,Steven Nelson,6,0,88.1,9,2020,27,PIT,15,15,0,43,5,48,2,0,2,3,0,9,0,0,907,53,11.6,RCB
1932,Terence Newman,6,0,89.8,12,2015,37,MIN,16,16,0,52,10,62,2,0,3,4,0,12,0,0,964,13,3,LCB
1933,Greg Newsome II,6,0.5,72.9,14,2023,23,CLE,14,13,0.5,34,15,49,4,1,2,34,1,14,0,0,774,71,13.9,CB
1934,Yannick Ngakoue,6,4,55.3,0,2023,28,CHI,13,13,4,13,9,22,6,7,0,0,0,0,0,0,592,11,2.5,DL
1935,Haloti Ngata,6,2,48.9,7,2014,30,BAL,12,12,2,19,13,32,2,3,2,16,0,7,0,0,529,46,10.2,LDE
1936,Bilal Nichols,6,0,41.5,1,2019,23,CHI,13,12,0,15,12,27,1,2,0,0,0,1,0,0,445,40,9.6,DT
1937,Bilal Nichols,6,3,64.1,1,2021,25,CHI,17,15,3,26,25,51,5,9,0,0,0,1,0,0,678,75,17.7,RDE/LDE
1938,Rob Ninkovich,6,4,44.3,2,2016,32,NWE,12,11,4,17,15,32,3,5,0,0,0,2,0,0,462,51,11.4,RLB
1939,Derrick Nnadi,6,0,33.8,0,2022,26,KAN,17,17,0,11,14,25,1,0,0,0,0,0,0,0,388,68,14.8,LDT
1940,Josh Norman,6,0,99.5,9,2018,31,WAS,16,16,0,40,24,64,1,0,3,79,0,9,0,0,1028,0,0,RCB
1941,Rakeem Nunez-Roches,6,0,45.3,0,2020,27,TAM,16,11,0,7,13,20,0,3,0,0,0,0,0,0,482,114,24.8,NT
1942,Rakeem Nunez-Roches,6,2,48.9,0,2022,29,TAM,17,10,2,19,14,33,5,3,0,0,0,0,0,0,548,143,31.1,RDE
1943,Uchenna Nwosu,6,5,67.2,4,2021,25,LAC,17,15,5,24,16,40,8,17,1,2,0,4,0,0,782,9,2,ROLB
1944,Ifeadi Odenigbo,6,3.5,64.8,0,2020,26,MIN,15,15,3.5,16,19,35,3,15,0,0,0,0,0,0,696,30,6.7,LDE/RDE
1945,Osa Odighizuwa,6,2,53.5,0,2021,23,DAL,16,12,2,21,15,36,6,11,0,0,0,0,0,0,616,59,12,LDT
1946,Jared Odrick,6,1,76.2,5,2014,27,MIA,16,16,1,23,6,29,3,8,0,0,0,5,0,0,807,81,17.9,RDT
1947,George Odum,6,0,2.4,0,2020,27,IND,16,0,0,14,7,21,0,0,0,0,0,0,0,0,25,340,77.1,DB
1948,Emmanuel Ogbah,6,5.5,76.3,3,2016,23,CLE,16,16,5.5,28,25,53,8,16,0,0,0,3,0,0,849,140,31.5,RDE/LOLB
1949,Alec Ogletree,6,1,76.5,6,2019,28,NYG,13,13,1,48,32,80,4,3,1,0,0,6,0,0,850,2,0.4,LILB
1950,Alec Ogletree,6,0,65.9,4,2021,30,CHI,16,16,0,55,32,87,5,3,0,0,0,4,0,0,697,36,8.5,LILB
1951,Adetokunbo Ogundeji,6,2,48.3,0,2022,24,ATL,16,16,2,19,23,42,3,1,0,0,0,0,0,0,542,96,22.1,LDE
1952,Larry Ogunjobi,6,2.5,59.6,0,2020,26,CLE,15,15,2.5,23,23,46,5,6,0,0,0,0,0,0,643,50,11.8,RDT
1953,Alex Okafor,6,2,58.5,1,2015,24,ARI,13,13,2,25,6,31,4,11,0,0,0,1,0,0,612,46,9.9,ROLB
1954,Ed Oliver,6,5,53.7,2,2019,22,BUF,16,7,5,24,19,43,5,8,0,0,0,2,0,0,556,16,3.9,RDT
1955,David Onyemata,6,3,53.3,1,2019,27,NOR,15,15,3,22,10,32,3,11,0,0,0,1,0,0,565,67,14.6,LDT
1956,David Onyemata,6,2,38.5,0,2021,29,NOR,11,11,2,12,22,34,2,10,0,0,0,0,0,0,430,49,10.4,RDT
1957,Brian Orakpo,6,7,90.8,5,2015,29,TEN,16,16,7,38,13,51,12,10,0,0,0,5,0,0,957,46,10.3,ROLB
1958,Jonathan Owens,6,1,82.8,4,2022,27,HOU,17,17,1,84,41,125,0,1,0,0,0,4,0,0,971,71,15.3,FS
1959,Ivan Pace,6,2.5,62.4,2,2023,23,MIN,17,11,2.5,63,39,102,2,9,1,0,0,2,0,0,706,249,57.2,LB
1960,Nate Palmer,6,1,51.1,2,2015,26,GNB,16,10,1,47,21,68,3,4,0,0,0,2,0,0,535,194,42.9,LILB
1961,Ron Parker,6,5,97.1,12,2015,28,KAN,16,16,5,67,11,78,6,5,3,5,0,12,0,0,1055,9,2,SS
1962,Ron Parker,6,0,98.9,12,2016,29,KAN,16,16,0,52,9,61,1,0,1,1,0,12,0,0,1103,12,2.7,FS
1963,Ron Parker,6,0,93.7,4,2017,30,KAN,15,15,0,58,9,67,0,0,2,0,0,4,0,0,1032,5,1.1,SS
1964,David Parry,6,1,57.7,0,2015,23,IND,16,16,1,15,16,31,4,3,0,0,0,0,8,0.7,656,83,17.2,LDT
1965,Kwity Paye,6,6,48,0,2022,24,IND,12,12,6,32,13,45,10,10,0,0,0,0,0,0,546,14,3.1,RDE
1966,Domata Peko,6,1,46.6,0,2017,33,DEN,14,14,1,24,14,38,6,1,0,0,0,0,2,0.2,460,34,7.5,NT
1967,Jabrill Peppers,6,2.5,83.5,11,2020,25,NYG,15,14,2.5,57,34,91,8,3,1,6,0,11,0,0,911,90,21.8,SS
1968,Denzel Perryman,6,1,30.7,1,2020,28,LAC,13,6,1,25,23,48,3,2,0,0,0,1,0,0,318,5,1.1,DB
1969,Nick Perry,6,11,58.6,4,2016,26,GNB,14,12,11,35,17,52,12,16,1,0,0,4,0,0,603,13,2.9,ROLB
1970,Corey Peters,6,0,46.2,0,2016,28,ARI,15,14,0,12,9,21,4,1,0,0,0,0,0,0,497,126,26.4,NT
1971,Corey Peters,6,2.5,71.1,0,2019,31,ARI,16,16,2.5,19,19,38,6,6,0,0,0,0,0,0,805,162,35.2,NT
1972,Marcus Peters,6,1,67.3,6,2022,29,BAL,13,13,1,35,12,47,2,1,1,8,0,6,0,0,736,0,0,LCB
1973,Patrick Peterson,6,0,95.2,15,2022,32,MIN,17,17,0,56,10,66,3,0,5,91,0,15,0,0,1105,84,17,RCB
1974,Patrick Peterson,6,0,97.1,11,2023,33,PIT,17,16,0,34,8,42,0,0,2,0,0,11,0,0,1096,77,17.1,LCB
1975,Adrian Phillips,6,1,73.4,4,2020,28,NWE,16,16,1,76,33,109,7,1,2,5,0,4,0,0,746,148,37.3,SS
1976,Adrian Phillips,6,0,81.7,9,2021,29,NWE,17,13,0,56,36,92,3,1,4,39,1,9,0,0,882,137,31.2,SS
1977,Darius Philon,6,4,58.6,0,2018,24,LAC,16,13,4,19,14,33,7,9,0,0,0,0,0,0,607,59,13.7,LDT
1978,Harrison Phillips,6,1,44,1,2021,25,BUF,14,8,1,28,23,51,4,6,0,0,0,1,0,0,474,79,18.2,RDT
1979,Ryan Pickett,6,0,25.4,3,2014,35,HOU,13,13,0,11,9,20,0,0,0,0,0,3,0,0,287,28,6,MLB
1980,Jason Pierre-Paul,6,2.5,52.7,4,2021,32,TAM,12,12,2.5,20,11,31,3,5,0,0,0,4,0,0,601,0,0,LOLB
1981,Jason Pierre-Paul,6,3,48.1,5,2022,33,BAL,14,13,3,17,9,26,5,3,1,3,0,5,0,0,526,0,0,LOLB
1982,Kevin Pierre-Louis,6,1,48.4,2,2020,29,WAS,13,11,1,36,20,56,3,2,0,0,0,2,0,0,506,8,1.8,RLB
1983,Jalen Pitre,6,0,79.5,5,2023,24,HOU,15,15,0,58,26,84,6,2,0,0,0,5,0,0,906,30,6.4,S
1984,Dontari Poe,6,1,51.7,0,2018,28,CAR,16,16,1,9,8,17,4,3,0,0,0,0,0,0,515,23,5.5,RDT
1985,Paul Posluszny,6,1.5,46.2,2,2017,33,JAX,16,11,1.5,43,18,61,6,2,0,0,0,2,0,0,478,162,33.4,MLB
1986,Jordan Poyer,6,2,93.7,13,2017,26,BUF,15,15,2,63,32,95,4,2,5,33,1,13,0,0,1038,79,18.1,FS
1987,Hayes Pullard,6,0,45.3,1,2017,25,LAC,13,10,0,49,25,74,3,0,1,1,0,1,0,0,475,22,5.1,MLB
1988,Mike Purcell,6,0,33.2,1,2021,30,DEN,13,10,0,17,16,33,1,2,0,0,0,1,0,0,362,95,23.4,NT
1989,Glover Quin,6,0,91.2,5,2015,29,DET,16,16,0,56,11,67,0,0,4,77,1,5,0,0,953,70,15.3,FS
1990,Glover Quin,6,0,100,5,2016,30,DET,16,16,0,55,13,68,2,1,2,0,0,5,0,0,1027,69,16.6,FS
1991,Glover Quin,6,1,84,3,2018,32,DET,16,16,1,58,16,74,1,2,0,0,0,3,0,0,829,87,20.1,FS
1992,Robert Quinn,6,8.5,58.8,1,2017,27,LAR,15,14,8.5,21,11,32,9,12,0,0,0,1,0,0,631,40,8,LOLB
1993,Robert Quinn,6,6.5,58.3,0,2018,28,MIA,16,16,6.5,25,13,38,9,15,0,0,0,0,0,0,635,9,2,RDE
1994,Robert Quinn,6,2,51.2,0,2020,30,CHI,15,13,2,14,6,20,0,6,0,0,0,0,0,0,548,0,0,ROLB
1995,Reggie Ragland,6,0.5,49.4,1,2018,25,KAN,16,15,0.5,46,40,86,2,1,1,67,0,1,0,0,582,4,0.9,RILB
