Rk,Player,AV,Y/Tgt,Season,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,1D,Succ%,Touch,TotOff,YScm,RtY,OffSnp,Snap_perc,DefSnp,Def%,STSnp,ST %,AV,Pos
561,Antonio Brown,5,8.8,2021,33,TAM,7,3,62,42,545,13,4,77.9,67.7,29,53.2,43,6,551,0,268,22.7,0,0,1,0.2,5,WR
562,Noah Brown,5,10.3,2023,27,HOU,10,7,55,33,567,17.2,2,56.7,60,24,52.7,34,-1,566,0,463,40.8,0,0,31,6.7,5,WR
563,Corey Brown,5,8.3,2015,24,CAR,14,11,54,31,447,14.4,4,31.9,57.4,24,51.9,37,38,485,0,753,68.3,0,0,0,0,5,WR
564,Trey Burton,5,7.5,2018,27,CHI,16,16,76,54,569,10.5,6,35.6,71.1,29,57.9,55,2,571,0,860,80,0,0,11,2.6,5,TE
565,Parris Campbell,5,6.8,2022,25,IND,17,16,91,63,623,9.9,3,36.6,69.2,32,54.9,68,58,681,0,980,85.1,0,0,14,3.1,5,WR
566,DJ Chark,5,7.6,2020,24,JAX,13,12,93,53,706,13.3,5,54.3,57,37,48.4,53,0,706,0,702,67.6,0,0,0,0,5,WR
567,DJ Chark,5,9.7,2022,26,DET,11,10,52,30,502,16.7,3,45.6,57.7,24,51.9,30,0,502,0,534,46.8,0,0,0,0,5,WR
568,Charles Clay,5,6.9,2015,26,BUF,13,13,77,51,528,10.4,3,40.6,66.2,26,46.8,51,0,528,0,763,71,0,0,3,0.7,5,TE
569,Charles Clay,5,7.5,2017,28,BUF,13,13,74,49,558,11.4,2,42.9,66.2,29,52.7,49,0,558,0,575,54.7,0,0,3,0.7,5,TE
570,Chase Claypool,5,5.7,2022,24,CHIPIT,15,11,79,46,451,9.8,1,30.1,58.2,24,46.8,55,60,510,0,662,30.2,0,0,0,0,5,WR
571,Tyler Conklin,5,6.8,2021,26,MIN,17,15,87,61,593,9.7,3,34.9,70.1,26,47.1,61,0,593,0,924,81,0,0,1,0.2,5,TE
572,Chris Conley,5,7.7,2016,24,KAN,16,11,69,44,530,12,0,33.1,63.8,30,56.5,44,0,530,0,816,79.8,0,0,10,2.2,5,WR
573,Brandin Cooks,5,8.1,2019,26,LAR,14,14,72,42,583,13.9,2,41.6,58.3,32,50,48,52,635,0,701,63.2,0,0,1,0.2,5,WR
574,Brandin Cooks,5,7.5,2022,29,HOU,13,13,93,57,699,12.3,3,53.8,61.3,29,47.3,59,7,706,0,658,61.9,0,0,0,0,5,WR
575,Jared Cook,5,8.4,2020,33,NOR,15,5,60,37,504,13.6,7,33.6,61.7,27,53.3,37,0,504,0,466,43.3,0,0,0,0,5,TE
576,Jared Cook,5,6.8,2021,34,LAC,16,10,83,48,564,11.8,4,35.3,57.8,31,50.6,48,0,564,0,644,53.8,0,0,0,0,5,TE
577,Michael Crabtree,5,6.1,2017,30,OAK,14,14,101,58,618,10.7,8,44.1,57.4,35,48.5,58,0,618,0,599,59.4,0,0,0,0,5,WR
578,Michael Crabtree,5,6.1,2018,31,BAL,16,16,100,54,607,11.2,3,37.9,54,35,47,54,0,607,0,805,67.7,0,0,0,0,5,WR
579,Jamison Crowder,5,7.7,2015,22,WAS,16,6,78,59,604,10.2,2,37.8,75.6,34,57.7,61,2,606,171,735,68.8,0,0,77,16.9,5,WR
580,Jamison Crowder,5,6.8,2019,26,NYJ,16,12,122,78,833,10.7,6,52.1,63.9,41,47.5,79,4,837,0,801,78.5,0,0,4,0.9,5,WR
581,Jamison Crowder,5,7.9,2020,27,NYJ,12,7,89,59,699,11.8,6,58.3,66.3,32,50.6,60,57,713,8,593,60,0,0,1,0.2,5,WR
582,Corey Davis,5,8.7,2019,24,TEN,15,11,69,43,601,14,2,40.1,62.3,33,58,43,0,601,0,713,72,0,0,1,0.2,5,TE
583,Gabriel Davis,5,8.7,2021,22,BUF,16,4,63,35,549,15.7,6,34.3,55.6,29,47.6,35,0,549,0,571,47.7,0,0,33,7.6,5,WR
584,Vernon Davis,5,9.9,2016,32,WAS,16,14,59,44,583,13.3,2,36.4,74.6,22,62.7,44,0,583,0,672,63.4,0,0,8,1.8,5,TE
585,Vernon Davis,5,9.4,2017,33,WAS,16,16,69,43,648,15.1,3,40.5,62.3,24,49.3,43,0,648,0,799,79,0,0,3,0.6,5,TE
586,Eric Decker,5,6.8,2017,30,TEN,16,8,83,54,563,10.4,1,35.2,65.1,31,54.2,54,0,563,22,733,71.7,0,0,4,0.8,5,WR
587,Phillip Dorsett,5,8.9,2016,23,IND,15,7,59,33,528,16,2,35.2,55.9,20,44.1,35,10,538,0,795,72.5,0,0,3,0.6,5,WR
588,Eric Ebron,5,6.7,2017,24,DET,16,9,86,53,574,10.8,4,35.9,61.6,31,43,53,0,574,0,549,52.7,0,0,0,0,5,TE
589,Eric Ebron,5,6.1,2020,27,PIT,15,9,91,56,558,10,5,37.2,61.5,30,46.2,56,0,558,0,766,69.6,0,0,3,0.7,5,TE
590,Evan Engram,5,6.3,2017,23,NYG,15,11,115,64,722,11.3,6,48.1,55.7,37,44.3,65,14,736,0,777,71.7,0,0,115,25.6,5,TE
591,Evan Engram,5,9,2018,24,NYG,11,8,64,45,577,12.8,3,52.5,70.3,22,43.8,48,36,613,0,475,46.3,0,0,7,1.5,5,TE
592,Evan Engram,5,6,2020,26,NYG,16,14,109,63,654,10.4,1,40.9,57.8,31,38.5,69,26,680,0,837,82.6,0,0,35,8.5,5,TE
593,Gerald Everett,5,7.6,2021,27,SEA,15,12,63,48,478,10,4,31.9,76.2,26,60.3,51,20,498,0,650,65.6,0,0,0,0,5,TE
594,Gerald Everett,5,6.4,2022,28,LAC,16,11,87,58,555,9.6,4,34.7,66.7,29,48.3,59,0,555,0,667,56,0,0,0,0,5,TE
595,Noah Fant,5,7.2,2020,23,DEN,15,14,93,62,673,10.9,3,44.9,66.7,34,51.6,62,0,673,0,733,68.1,0,0,0,0,5,TE
596,Larry Fitzgerald,5,6.6,2018,35,ARI,16,16,112,69,734,10.6,6,45.9,61.6,39,50.9,69,32,734,0,872,92.6,0,0,1,0.2,5,WR
597,Devin Funchess,5,7.5,2015,21,CAR,16,5,63,31,473,15.3,5,29.6,49.2,24,47.6,31,0,473,0,493,44.7,0,0,1,0.2,5,WR
598,Devin Funchess,5,6.9,2018,24,CAR,14,12,79,44,549,12.5,4,39.2,55.7,35,50.6,44,0,549,0,622,58.8,0,0,1,0.2,5,WR
599,Michael Gallup,5,7.3,2023,27,DAL,17,13,57,34,418,12.3,2,24.6,59.6,19,50.9,34,0,418,0,612,51.7,0,0,0,0,5,WR
600,Antonio Gates,5,5.9,2016,36,SDG,14,9,93,53,548,10.3,7,39.1,57,0,0,53,0,548,0,585,54.9,0,0,1,0.2,5,TE
601,Dallas Goedert,5,7,2019,24,PHI,15,9,87,58,607,10.5,5,40.5,66.7,33,57.5,58,0,607,16,770,66.2,0,0,143,31.7,5,TE
602,Jimmy Graham,5,7.1,2018,32,GNB,16,12,89,55,636,11.6,2,39.8,61.8,32,47.2,55,0,636,0,795,74,0,0,0,0,5,TE
603,Rob Gronkowski,5,14.2,2016,27,NWE,8,6,38,25,540,21.6,3,67.5,65.8,20,63.2,25,0,540,0,352,31.5,0,0,3,0.7,5,TE
604,Deonte Harty,5,9.7,2021,24,NOR,13,1,59,36,570,15.8,3,43.8,61,23,50.8,41,41,611,889,298,27.3,0,0,118,25.2,5,WR
605,Hunter Henry,5,9.3,2017,23,LAC,14,13,62,45,579,12.9,4,41.4,72.6,32,67.7,45,0,579,0,598,56.3,0,0,23,5.4,5,TE
606,Hunter Henry,5,8.6,2019,25,LAC,12,12,76,55,652,11.9,5,54.3,72.4,36,67.1,55,0,652,0,614,58.1,0,0,2,0.5,5,TE
607,Hunter Henry,5,6.6,2020,26,LAC,14,14,93,60,613,10.2,4,43.8,64.5,35,51.6,60,0,613,0,913,77.7,0,0,15,3.3,5,TE
608,Tyler Higbee,5,6.6,2021,28,LAR,15,15,85,61,560,9.2,5,37.3,71.8,33,60,61,0,560,0,883,81.1,0,0,73,15.8,5,TE
609,Tyler Higbee,5,7.1,2023,30,LAR,15,15,70,47,495,10.5,2,33,67.1,26,57.1,47,0,495,0,866,75.4,0,0,6,1.3,5,TE
610,Taysom Hill,5,7.3,2023,33,NOR,16,7,40,33,291,8.8,2,18.2,82.5,11,57.5,114,480,692,18,425,36.7,0,0,165,35.5,5,TE/QB
611,T.J. Hockenson,5,6.9,2021,24,DET,12,12,84,61,583,9.6,4,48.6,72.6,32,56,61,0,583,0,658,59.7,0,0,0,0,5,TE
612,Chris Hogan,5,7.4,2017,30,NWE,9,7,59,34,439,12.9,5,48.8,57.6,22,45.8,37,17,456,0,591,51.9,0,0,10,2.2,5,WR
613,Chris Hogan,5,9.7,2018,31,NWE,16,7,55,35,532,15.2,3,33.3,63.6,22,56.4,35,0,532,0,803,71.8,0,0,146,32.2,5,WR
614,Austin Hooper,5,8.1,2017,23,ATL,16,8,65,49,526,10.7,3,32.9,75.4,18,49.2,49,0,526,0,788,77,0,0,81,19.1,5,TE
615,Adam Humphries,5,7.5,2016,23,TAM,15,4,83,55,622,11.3,2,41.5,66.3,27,50.6,60,18,640,284,648,57.1,0,0,70,15.9,5,WR
616,Adam Humphries,5,7.6,2017,24,TAM,16,3,83,61,631,10.3,1,39.4,73.5,36,57.8,62,6,637,49,681,62.5,0,0,25,5.9,5,WR
617,Hayden Hurst,5,8.9,2019,26,BAL,16,4,39,30,349,11.6,2,21.8,76.9,16,69.2,30,0,349,0,457,41.4,0,0,45,10.4,5,TE
618,Hayden Hurst,5,6.5,2020,27,ATL,16,9,88,56,571,10.2,6,35.7,63.6,35,51.1,56,0,571,0,786,70,0,0,19,4.2,5,TE
619,DeSean Jackson,5,7.4,2017,31,TAM,14,13,90,50,668,13.4,3,47.7,55.6,37,48.9,53,38,706,0,609,55.9,0,0,0,0,5,WR
620,Vincent Jackson,5,8.8,2015,32,TAM,10,9,62,33,543,16.5,3,54.3,53.2,28,50,33,0,543,0,531,48.7,0,0,2,0.4,5,WR
621,Alshon Jeffery,5,8.7,2016,26,CHI,12,12,94,52,821,15.8,2,68.4,55.3,42,53.2,52,0,821,0,692,68.5,0,0,2,0.5,5,WR
622,Marvin Jones,5,6.9,2021,31,JAX,17,16,120,73,832,11.4,4,48.9,60.8,42,53.3,73,0,832,0,980,90.3,0,0,1,0.2,5,WR
623,Marvin Jones,5,6.5,2022,32,JAX,16,10,81,46,529,11.5,3,33.1,56.8,29,51.9,46,0,529,0,700,62.3,0,0,0,0,5,WR
624,Zay Jones,5,6.4,2018,23,BUF,16,15,102,56,652,11.6,7,40.8,54.9,33,42.2,57,0,652,0,941,88.9,0,0,2,0.5,5,WR
625,Jeremy Kerley,5,5.8,2016,28,SFO,16,13,115,64,667,10.4,3,41.7,55.7,33,42.6,64,0,667,190,791,76.4,0,0,88,17.8,5,WR
626,Christian Kirk,5,7.9,2020,24,ARI,14,10,79,48,621,12.9,6,44.4,60.8,30,49.4,50,3,624,152,781,69,0,0,55,12.4,5,WR
627,George Kittle,5,10.1,2020,27,SFO,8,8,63,48,634,13.2,2,79.3,76.2,32,65.1,50,17,651,0,443,40.4,0,0,1,0.2,5,TE
628,Cole Kmet,5,6.6,2021,22,CHI,17,17,93,60,612,10.2,0,36,64.5,29,48.4,61,0,612,0,935,83.3,0,0,121,28.6,5,TE
629,Dawson Knox,5,8,2022,26,BUF,15,15,65,48,517,10.8,6,34.5,73.8,25,60,48,0,517,0,825,76,0,0,5,1.2,5,TE
630,Brandon LaFell,5,7,2015,29,NWE,11,7,74,37,515,13.9,0,46.8,50,22,37.8,39,9,524,0,660,59.1,0,0,0,0,5,WR
631,Brandon LaFell,5,6.2,2017,31,CIN,16,15,89,52,548,10.5,3,34.3,58.4,25,41.6,52,0,548,0,860,89.4,0,0,1,0.2,5,WR
632,Jarvis Landry,5,6.6,2021,29,CLE,12,12,87,52,570,11,2,47.5,59.8,30,48.3,58,39,610,0,533,48.1,0,0,0,0,5,WR
633,Allen Lazard,5,9.8,2020,25,GNB,10,9,46,33,451,13.7,3,45.1,71.7,23,69.6,35,17,468,0,470,45.2,0,0,11,2.6,5,WR
634,Allen Lazard,5,8.6,2021,26,GNB,15,13,60,40,513,12.8,8,34.2,66.7,28,60,43,32,545,0,716,64.2,0,0,23,5.3,5,WR
635,Jeremy Maclin,5,7.1,2016,28,KAN,12,12,76,44,536,12.2,2,44.7,57.9,29,47.4,45,-1,535,0,630,61.6,0,0,4,0.9,5,WR
636,Brandon Marshall,5,6.2,2016,32,NYJ,15,15,128,59,788,13.4,3,52.5,46.1,45,40.6,59,0,788,0,899,86.4,0,0,2,0.4,5,WR
637,Vance McDonald,5,8.5,2018,28,PIT,15,14,72,50,610,12.2,4,40.7,69.4,33,55.6,50,0,610,0,564,50.5,0,0,49,10.7,5,TE
638,Isaiah McKenzie,5,6.5,2022,27,BUF,15,8,65,42,423,10.1,4,28.2,64.6,27,58.5,51,55,478,144,555,51.2,0,0,28,6.8,5,WR
639,Anthony Miller,5,7.7,2019,25,CHI,16,7,85,52,656,12.6,2,41,61.2,34,51.8,53,-1,655,28,686,64.2,0,0,74,17.8,5,WR
640,Scott Miller,5,9.5,2020,23,TAM,16,5,53,33,501,15.2,3,31.3,62.3,20,45.3,36,14,515,0,440,41,0,0,0,0,5,WR
641,Marvin Mims,5,11.4,2023,21,DEN,16,7,33,22,377,17.1,1,23.6,66.7,9,48.5,31,30,407,709,384,35.8,0,0,144,31.2,5,WR
642,David Moore,5,8.9,2020,25,SEA,16,6,47,35,417,11.9,6,26.1,74.5,18,53.2,43,61,478,158,482,45.3,0,0,99,22,5,WR
643,Elijah Moore,5,6.2,2023,23,CLE,17,12,104,59,640,10.8,2,37.6,56.7,29,42.3,68,11,651,23,903,72.8,0,0,6,1.2,5,WR
644,Rondale Moore,5,6.8,2021,21,ARI,14,7,64,54,435,8.1,1,31.1,84.4,18,54.7,72,76,511,462,432,36.8,0,0,94,21.1,5,WR
645,Rondale Moore,5,5.7,2023,23,ARI,17,8,62,40,352,8.8,1,20.7,64.5,17,38.7,68,178,530,11,757,66.8,0,0,8,1.8,5,WR
646,JJ Nelson,5,7.7,2016,24,ARI,15,6,74,34,568,16.7,6,37.9,45.9,26,44.6,38,83,651,53,471,40.9,0,0,10,2.1,5,WR
647,David Njoku,5,7.3,2018,22,CLE,16,14,88,56,639,11.4,4,39.9,63.6,27,45.5,56,0,639,0,871,79.8,0,0,0,0,5,TE
648,Chigoziem Okonkwo,5,6.9,2023,24,TEN,17,11,77,54,528,9.8,1,31.1,70.1,25,48.1,56,6,534,0,692,65.9,0,0,85,18.7,5,TE
649,K.J. Osborn,5,8,2021,24,MIN,17,9,82,50,655,13.1,7,38.5,61,26,46.3,51,10,665,23,774,67.8,0,0,35,7.2,5,WR
650,K.J. Osborn,5,7.2,2022,25,MIN,17,9,90,60,650,10.8,5,38.2,66.7,32,58.9,63,6,656,0,873,74.7,0,0,2,0.4,5,WR
651,Josh Palmer,5,9.5,2023,24,LAC,10,6,61,38,581,15.3,2,58.1,62.3,22,47.5,39,6,587,0,525,45.3,0,0,0,0,5,WR
652,DeVante Parker,5,7,2017,24,MIA,13,12,96,57,670,11.8,1,51.5,59.4,34,49,57,0,670,0,675,65.1,0,0,0,0,5,WR
653,Tim Patrick,5,9.4,2020,27,DEN,15,15,79,51,742,14.5,6,49.5,64.6,33,55.7,51,0,742,0,750,69.7,0,0,6,1.3,5,WR
654,Cordarrelle Patterson,5,6.5,2016,25,MIN,16,8,70,52,453,8.7,2,28.3,74.3,23,51.4,59,43,496,801,531,50.4,0,0,124,28.9,5,WR
655,Cordarrelle Patterson,5,8.8,2018,27,NWE,15,5,28,21,247,11.8,3,16.5,75,11,50,63,228,475,663,230,20.6,0,0,74,16.3,5,WR
656,Donovan Peoples-Jones,5,10.3,2021,22,CLE,14,9,58,34,597,17.6,3,42.6,58.6,26,51.7,34,0,597,95,699,63.1,0,0,42,9.9,5,WR
657,Breshad Perriman,5,9.3,2019,26,TAM,14,4,69,36,645,17.9,6,46.1,52.2,29,47.8,38,16,661,0,645,56.6,0,0,1,0.2,5,WR
658,Alec Pierce,5,7.9,2023,23,IND,17,16,65,32,514,16.1,2,30.2,49.2,24,46.2,32,0,514,0,1090,94.9,0,0,3,0.6,5,WR
659,Dennis Pitta,5,6,2016,31,BAL,16,12,121,86,729,8.5,2,45.6,71.1,37,47.9,86,0,729,0,810,71.4,0,0,10,2.2,5,TE
660,Kyle Pitts,5,7.4,2023,23,ATL,17,15,90,53,667,12.6,3,39.2,58.9,35,52.2,54,-4,663,0,728,64.4,0,0,0,0,5,TE
661,Michael Pittman Jr.,5,8.2,2020,23,IND,13,8,61,40,503,12.6,1,38.7,65.6,22,50.8,43,26,529,0,700,64.1,0,0,16,3.6,5,WR
662,Byron Pringle,5,9.5,2021,28,KAN,17,5,60,42,568,13.5,5,33.4,70,32,66.7,42,0,568,621,586,49,0,0,134,31.3,5,WR
663,Kalif Raymond,5,8.1,2021,27,DET,16,14,71,48,576,12,4,36,67.6,28,50.7,52,28,604,236,742,67.3,0,0,47,10.7,5,WR
664,Kalif Raymond,5,11.1,2023,29,DET,17,3,44,35,489,14,1,28.8,79.5,20,65.9,42,75,564,331,348,29.5,0,0,74,16.4,5,WR
665,Josh Reynolds,5,8.1,2022,27,DET,14,11,59,38,479,12.6,3,34.2,64.4,25,61,38,0,479,0,625,54.7,0,0,1,0.2,5,WR
666,Demarcus Robinson,5,8.2,2019,25,KAN,16,10,55,32,449,14,4,28.1,58.2,19,52.7,32,0,449,0,735,70,0,0,65,15.4,5,WR
667,Demarcus Robinson,5,6.1,2022,28,BAL,17,5,75,48,458,9.5,2,26.9,64,23,46.7,48,0,458,0,637,58.1,0,0,4,0.9,5,WR
668,Richard Rodgers,5,6,2015,23,GNB,16,12,85,58,510,8.8,8,31.9,68.2,28,45.9,59,11,521,0,799,69.7,0,0,53,11.7,5,TE
669,Chester Rogers,5,6.7,2018,24,IND,16,10,72,53,485,9.2,2,30.3,73.6,28,54.2,54,-4,481,225,593,52.2,0,0,68,15.4,5,WR
670,Kyle Rudolph,5,6.8,2015,26,MIN,16,16,73,49,495,10.1,5,30.9,67.1,25,49.3,49,0,495,0,845,82.8,0,0,80,18.2,5,TE
671,Kyle Rudolph,5,6.6,2017,28,MIN,16,16,81,57,532,9.3,8,33.3,70.4,32,59.3,57,0,532,0,922,82.6,0,0,50,11.2,5,TE
672,Kyle Rudolph,5,7.7,2018,29,MIN,16,16,82,64,634,9.9,4,39.6,78,32,61,64,0,634,0,925,88,0,0,72,16.1,5,TE
673,Curtis Samuel,5,7.6,2018,22,CAR,13,8,65,39,494,12.7,5,38,60,24,49.2,47,84,578,209,467,44.1,0,0,114,27.3,5,WR
674,Curtis Samuel,5,6,2019,23,CAR,16,15,105,54,627,11.6,6,39.2,51.4,36,43.8,73,130,757,0,955,85.8,0,0,3,0.6,5,WR
675,Curtis Samuel,5,6.7,2023,27,WAS,16,13,91,62,613,9.9,4,38.3,68.1,26,50.5,69,39,652,0,571,51.6,0,0,0,0,5,WR
676,Mohamed Sanu,5,8,2015,26,CIN,16,4,49,33,394,11.9,0,24.6,67.3,17,49,43,71,465,2,643,60.9,0,0,7,1.6,5,WR
677,Mohamed Sanu,5,5.8,2019,30,ATLNWE,15,12,89,59,520,8.8,2,34.7,66.3,30,48.3,62,11,531,56,758,32.7,0,0,37,4.2,5,WR
678,Dalton Schultz,5,6.9,2020,24,DAL,16,14,89,63,615,9.8,4,38.4,70.8,33,61.8,63,0,615,0,973,84.8,0,0,9,2,5,TE
679,Dalton Schultz,5,7.2,2023,27,HOU,15,8,88,59,635,10.8,5,42.3,67,35,52.3,59,0,635,0,739,65.2,0,0,1,0.2,5,TE
680,Tajae Sharpe,5,6.3,2016,22,TEN,16,10,83,41,522,12.7,2,32.6,49.4,27,45.8,42,1,523,0,787,74,0,0,2,0.4,5,WR
681,Laviska Shenault Jr.,5,7.6,2020,22,JAX,14,12,79,58,600,10.3,5,42.9,73.4,33,53.2,76,91,691,0,585,56.4,0,0,10,2.3,5,WR
682,Sterling Shepard,5,6.5,2016,23,NYG,16,16,105,65,683,10.5,8,42.7,61.9,42,49.5,68,31,714,0,1006,94.7,0,0,2,0.4,5,WR
683,Sterling Shepard,5,8.7,2017,24,NYG,11,10,84,59,731,12.4,2,66.5,70.2,36,57.1,63,4,735,0,687,63.4,0,0,0,0,5,WR
684,Sterling Shepard,5,6.9,2019,26,NYG,10,10,83,57,576,10.1,3,57.6,68.7,29,59,63,72,648,0,602,56.5,0,0,1,0.2,5,WR
685,Sterling Shepard,5,7.3,2020,27,NYG,12,12,90,66,656,9.9,3,54.7,73.3,37,60,72,49,705,0,561,55.4,0,0,1,0.2,5,WR
686,Jonnu Smith,5,6.9,2020,25,TEN,15,14,65,41,448,10.9,8,29.9,63.1,25,55.4,43,4,452,0,745,69.4,0,0,12,2.7,5,TE
687,Jonnu Smith,5,8.3,2023,28,ATL,17,6,70,50,582,11.6,3,34.2,71.4,26,51.4,51,0,582,0,653,57.8,0,0,0,0,5,TE
688,Steve Smith Sr.,5,7.9,2016,37,BAL,14,14,101,70,799,11.4,5,57.1,69.3,39,55.4,70,0,799,0,721,63.6,0,0,1,0.2,5,WR
689,Tre'Quan Smith,5,9.7,2018,22,NOR,15,7,44,28,427,15.3,5,28.5,63.6,23,61.4,28,0,427,0,567,53.9,0,0,11,2.6,5,WR
690,Willie Snead,5,9,2020,28,BAL,13,8,48,33,432,13.1,3,33.2,68.8,23,58.3,33,0,432,5,535,52.1,0,0,4,1,5,WR
691,Kenny Stills,5,10.2,2019,27,HOU,13,5,55,40,561,14,4,43.2,72.7,27,58.2,40,0,561,0,587,54.9,0,0,0,0,5,WR
692,Courtland Sutton,5,8.4,2018,23,DEN,16,9,84,42,704,16.8,4,44,50,30,45.2,43,-1,703,0,819,76.3,0,0,27,6.1,5,WR
693,Courtland Sutton,5,7.6,2022,27,DEN,15,15,109,64,829,13,2,55.3,58.7,38,46.8,65,5,834,0,882,77.6,0,0,0,0,5,WR
694,Golden Tate,5,8,2019,31,NYG,11,10,85,49,676,13.8,6,61.5,57.6,30,49.4,50,16,692,97,624,58.5,0,0,32,7,5,WR
695,Adam Thielen,5,8.7,2019,29,MIN,10,10,48,30,418,13.9,6,41.8,62.5,18,52.1,34,6,424,0,436,42.6,0,0,3,0.7,5,WR
696,Demaryius Thomas,5,7.6,2018,31,DENHOU,15,15,89,59,677,11.5,5,45.1,66.3,36,49.4,59,0,677,0,764,35.2,0,0,0,0,5,WR
697,Deonte Thompson,5,8,2017,28,BUFCHI,16,10,69,38,555,14.6,2,34.7,55.1,25,46.4,40,-5,550,229,660,32.4,0,0,29,3.4,5,WR
698,Logan Thomas,5,6.1,2020,29,WAS,16,15,110,72,670,9.3,6,41.9,65.5,36,47.3,75,33,675,0,1009,92.7,0,0,22,5,5,TE
699,Robert Tonyan,5,7,2022,28,GNB,17,3,67,53,470,8.9,2,27.6,79.1,20,53.7,53,0,470,0,591,54,0,0,3,0.7,5,TE
700,Darren Waller,5,7.2,2021,29,LVR,11,11,93,55,665,12.1,2,60.5,59.1,31,49.5,55,0,665,0,608,53.3,0,0,3,0.6,5,TE
701,Mike Wallace,5,6.6,2015,29,MIN,16,12,72,39,473,12.1,2,29.6,54.2,27,41.7,40,6,479,0,748,73.3,0,0,0,0,5,WR
702,James Washington,5,9.2,2019,23,PIT,15,10,80,44,735,16.7,3,49,55,31,46.3,44,0,735,0,634,63.5,0,0,29,6.8,5,WR
703,Nate Washington,5,7,2015,32,HOU,14,14,94,47,658,14,4,47,50,33,43.6,47,0,658,0,793,66.9,0,0,0,0,5,WR
704,Ben Watson,5,6.6,2017,37,BAL,16,12,79,61,522,8.6,4,32.6,77.2,30,53.2,61,0,522,0,700,64.5,0,0,1,0.2,5,TE
705,Dede Westbrook,5,6.5,2019,26,JAX,15,11,101,66,660,10,3,44,65.3,31,43.6,71,27,687,132,747,68.5,0,0,78,17.8,5,WR
706,Nick Westbrook-Ikhine,5,8.4,2021,24,TEN,16,7,57,38,476,12.5,4,29.8,66.7,23,54.4,38,0,476,0,661,55.8,0,0,172,37.6,5,WR
707,Terrance Williams,5,9,2015,26,DAL,16,13,93,52,840,16.2,3,52.5,55.9,36,51.6,52,0,840,9,791,76.9,0,0,3,0.7,5,WR
708,Tyrell Williams,5,10.2,2019,27,OAK,14,12,64,42,651,15.5,6,46.5,65.6,33,57.8,42,0,651,0,727,71.2,0,0,3,0.7,5,WR
709,Albert Wilson,5,7.9,2015,23,KAN,14,12,57,35,451,12.9,2,32.2,61.4,19,45.6,40,26,477,0,655,65.4,0,0,28,6.3,5,WR
710,Albert Wilson,5,8.9,2017,25,KAN,13,7,62,42,554,13.2,3,42.6,67.7,32,59.7,45,6,560,18,536,52.2,0,0,56,12.1,5,WR
711,Cedrick Wilson Jr.,5,9.9,2021,26,DAL,16,4,61,45,602,13.4,6,37.6,73.8,27,60.7,47,99,613,36,528,43,0,0,52,10.6,5,WR
712,Robert Woods,5,6.9,2015,23,BUF,14,9,80,47,552,11.7,3,39.4,58.8,27,52.5,48,0,552,0,774,72,3,0.3,43,9.3,5,WR
713,Robert Woods,5,8.1,2021,29,LAR,9,9,69,45,556,12.4,4,61.8,65.2,34,59.4,53,46,602,0,543,49.9,0,0,5,1.1,5,WR
714,Jarius Wright,5,8.8,2015,26,MIN,16,3,50,34,442,13,0,27.6,68,25,58,35,29,471,0,431,42.3,0,0,0,0,5,WR
715,Kendall Wright,5,6.7,2017,28,CHI,16,4,91,59,614,10.4,1,38.4,64.8,33,48.4,59,0,614,0,580,58.7,0,0,0,0,5,WR
716,Davante Adams,4,5.1,2015,23,GNB,13,12,94,50,483,9.7,1,37.2,53.2,20,45.7,50,0,483,0,762,66.4,0,0,1,0.2,4,WR
717,Nelson Agholor,4,8.5,2023,30,BAL,17,3,45,35,381,10.9,4,22.4,77.8,19,55.6,35,0,381,0,582,51.7,0,0,5,1.1,4,WR
718,Jordan Akins,4,7.6,2019,27,HOU,16,9,55,36,418,11.6,2,26.1,65.5,21,49.1,36,0,418,0,655,61.3,0,0,111,26.3,4,TE
719,Jordan Akins,4,9.2,2022,30,HOU,15,3,54,37,495,13.4,5,33,68.5,23,53.7,37,0,495,0,406,38.2,0,0,34,7.3,4,TE
720,Mo Alie-Cox,4,10.1,2020,27,IND,15,6,39,31,394,12.7,2,26.3,79.5,19,66.7,31,0,394,0,502,46,0,0,35,7.9,4,TE
721,Dwayne Allen,4,7.8,2016,26,IND,14,14,52,35,406,11.6,6,29,67.3,25,63.5,35,0,406,0,611,55.7,0,0,2,0.4,4,TE
722,Danny Amendola,4,7.3,2018,33,MIA,15,15,79,59,575,9.7,1,38.3,74.7,27,54.4,60,26,573,59,683,74.2,0,0,31,6.9,4,WR
723,Robbie Chosen,4,7.5,2016,23,NYJ,16,8,78,42,587,14,2,36.7,53.8,19,43.6,45,42,629,0,717,68.9,0,0,1,0.2,4,WR
724,Robbie Chosen,4,4.7,2021,28,CAR,17,16,110,53,519,9.8,5,30.5,48.2,27,36.4,56,36,555,0,978,85.1,0,0,3,0.7,4,WR
725,Dan Arnold,4,9.7,2020,25,ARI,16,5,45,31,438,14.1,4,27.4,68.9,24,62.2,31,0,438,0,469,41.4,0,0,69,15.6,4,TE
726,Tavon Austin,4,4.8,2016,26,LAR,15,15,106,58,509,8.8,3,33.9,54.7,25,34,86,159,668,341,731,72.8,0,0,91,20.2,4,WR
727,Gary Barnidge,4,7.5,2016,31,CLE,16,16,82,55,612,11.1,2,38.3,67.1,34,52.4,55,0,612,0,968,94,0,0,49,11,4,TE
