Rk,Player,AV,Y/Tgt,Season,Age,Team,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,1D,Succ%,Touch,TotOff,YScm,RtY,OffSnp,Snap_perc,DefSnp,Def%,STSnp,ST %,AV,Pos
354,Diontae Johnson,7,6,2022,26,PIT,17,17,147,86,882,10.3,0,51.9,58.5,45,49,93,25,907,0,1042,89.8,0,0,1,0.2,7,WR
355,Jermaine Kearse,7,10.1,2015,25,SEA,16,16,68,49,685,14,5,42.8,72.1,32,60.3,49,0,685,0,770,71.4,0,0,46,10.3,7,WR
356,Dalton Kincaid,7,7.4,2023,24,BUF,16,11,91,73,673,9.2,2,42.1,80.2,29,61.5,73,0,673,0,699,60.1,0,0,1,0.2,7,TE
357,Christian Kirk,7,6.6,2019,23,ARI,13,13,108,68,709,10.4,3,54.5,63,31,52.8,78,93,802,39,791,75.5,0,0,21,4.6,7,WR
358,Christian Kirk,7,9.3,2023,27,JAX,12,12,85,57,787,13.8,3,65.6,67.1,34,57.6,58,5,793,27,585,50.2,0,0,12,2.7,7,WR
359,Cole Kmet,7,7.9,2022,23,CHI,17,17,69,50,544,10.9,7,32,72.5,27,59.4,52,9,553,0,971,93.9,0,0,57,13.1,7,TE
360,Cole Kmet,7,8,2023,24,CHI,17,17,90,73,719,9.8,6,42.3,81.1,36,62.2,76,2,721,0,878,77.2,0,0,58,13.1,7,TE
361,Cooper Kupp,7,7.9,2020,27,LAR,15,12,124,92,974,10.6,3,64.9,74.2,45,59.7,96,33,1007,50,841,75.2,0,0,28,6.4,7,WR
362,Cooper Kupp,7,7.8,2023,30,LAR,12,12,95,59,737,12.5,5,61.4,62.1,33,49.5,60,-3,734,0,710,61.8,0,0,7,1.5,7,WR
363,Jarvis Landry,7,6.1,2017,25,MIA,16,16,161,112,987,8.8,9,61.7,69.6,62,51.6,113,-7,980,76,929,89.6,0,0,40,9,7,WR
364,Marqise Lee,7,8.1,2016,25,JAX,16,6,105,63,851,13.5,3,53.2,60,44,54.3,69,55,886,548,818,73.5,0,0,65,13.3,7,WR
365,Drake London,7,8.2,2023,22,ATL,16,16,110,69,905,13.1,2,56.6,62.7,45,52.7,69,22,905,0,860,76.1,0,0,0,0,7,WR
366,Jordan Matthews,7,7.9,2015,23,PHI,16,12,126,85,997,11.7,8,62.3,67.5,46,53.2,85,0,997,0,919,79.5,0,0,1,0.2,7,WR
367,Jordan Matthews,7,6.9,2016,24,PHI,14,13,117,73,804,11,3,57.4,62.4,38,48.7,73,0,804,0,843,74.5,0,0,2,0.5,7,WR
368,Rishard Matthews,7,9.1,2017,28,TEN,14,11,87,53,795,15,4,56.8,60.9,36,54,54,-3,792,0,749,73.3,0,0,0,0,7,WR
369,Terry McLaurin,7,9.9,2019,24,WAS,14,14,93,58,919,15.8,7,65.6,62.4,43,57,58,0,919,0,764,81.3,0,0,3,0.7,7,WR
370,Jakobi Meyers,7,9,2020,24,NWE,14,9,81,59,729,12.4,0,52.1,72.8,37,59.3,61,52,738,0,665,65.8,0,0,0,0,7,WR
371,Jakobi Meyers,7,7.6,2023,27,LVR,16,16,106,71,807,11.4,8,50.4,67,46,54.7,75,36,831,0,903,86.3,0,0,3,0.7,7,WR
372,David Njoku,7,7.2,2023,27,CLE,16,16,123,81,882,10.9,6,55.1,65.9,35,43.9,81,0,882,0,970,78.2,0,0,0,0,7,TE
373,DeVante Parker,7,7.7,2020,27,MIA,14,11,103,63,793,12.6,4,56.6,61.2,45,54.4,63,0,793,0,726,68,0,0,2,0.4,7,WR
374,George Pickens,7,9.5,2022,21,PIT,17,12,84,52,801,15.4,4,47.1,61.9,38,48.8,55,24,825,0,882,76,0,0,3,0.7,7,WR
375,Michael Pittman Jr.,7,6.6,2022,25,IND,16,16,141,99,925,9.3,4,57.8,70.2,51,53.9,102,30,955,0,1065,92.5,0,0,1,0.2,7,WR
376,Rueben Randle,7,8.9,2015,24,NYG,16,16,90,57,797,14,8,49.8,63.3,36,53.3,57,0,797,0,996,89.4,0,0,4,0.8,7,WR
377,Calvin Ridley,7,8.9,2018,24,ATL,16,5,92,64,821,12.8,10,51.3,69.6,39,51.1,70,27,848,50,644,60.8,0,0,9,2,7,WR
378,Calvin Ridley,7,9.3,2019,25,ATL,13,10,93,63,866,13.7,7,66.6,67.7,47,59.1,65,34,900,0,712,61,0,0,0,0,7,WR
379,Allen Robinson,7,8,2018,25,CHI,13,12,94,55,754,13.7,4,58,58.5,36,52.1,56,9,763,0,765,71.2,0,0,7,1.6,7,WR
380,Kyle Rudolph,7,6.4,2016,27,MIN,16,16,132,83,840,10.1,7,52.5,62.9,50,50,83,0,840,0,970,92.1,0,0,65,15.2,7,TE
381,Emmanuel Sanders,7,8.9,2018,31,DEN,12,12,98,71,868,12.2,4,72.3,72.4,37,56.1,75,81,921,0,658,61.3,0,0,0,0,7,WR
382,Emmanuel Sanders,7,8.9,2020,33,NOR,14,5,82,61,726,11.9,5,51.9,74.4,33,68.3,62,12,738,0,559,51.9,0,0,1,0.2,7,WR
383,Mohamed Sanu,7,8.1,2016,27,ATL,15,15,81,59,653,11.1,4,43.5,72.8,33,61.7,60,5,658,0,744,71.6,0,0,15,3.2,7,WR
384,Mohamed Sanu,7,7.3,2017,28,ATL,15,15,96,67,703,10.5,5,46.9,69.8,41,59.4,71,61,713,0,755,73.7,0,0,3,0.7,7,WR
385,Mohamed Sanu,7,8.9,2018,29,ATL,16,16,94,66,838,12.7,4,52.4,70.2,40,61.7,73,49,882,0,830,78.3,0,0,3,0.7,7,WR
386,Dalton Schultz,7,7.8,2021,25,DAL,17,15,104,78,808,10.4,8,47.5,75,43,62.5,78,0,808,0,993,80.9,0,0,86,17.6,7,TE
387,Sterling Shepard,7,8.1,2018,25,NYG,16,16,107,66,872,13.2,4,54.5,61.7,47,51.4,69,33,905,27,934,90.9,0,0,9,2,7,WR
388,Darius Slayton,7,10.2,2022,25,NYG,16,11,71,46,724,15.7,2,45.3,64.8,30,57.7,46,0,724,0,698,61.5,0,0,0,0,7,WR
389,JuJu Smith-Schuster,7,6.5,2020,24,PIT,16,14,128,97,831,8.6,9,51.9,75.8,48,61.7,97,0,831,0,923,83.9,0,0,3,0.7,7,WR
390,Courtland Sutton,7,7.9,2021,26,DEN,17,16,98,58,776,13.4,2,45.6,59.2,35,50,58,16,776,0,920,85.1,0,0,4,1,7,WR
